what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328224031449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328224031833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328224532051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328224532507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225497665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225498165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225498661
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1328225498722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225499658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225500763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225501198
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225540270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225541021
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225541375
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1328225541436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225541796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225542359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225544014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225653870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225654789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225659518
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328225660250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328226090696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328226094539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328226095634
